Date,Forecasted CSAT Score,Lower CI,Upper CI
2024-02-01,5.049888709500143,2.067437712809302,8.032339706190985
2024-02-02,5.991678322747433,3.0091406548757096,8.974215990619156
2024-02-03,4.966524978663661,1.9839005523016207,7.949149405025701
2024-02-04,4.64016774907183,1.6574564767846325,7.622879021359028
2024-02-05,5.616790293546108,2.63399208401372,8.599588503078497
2024-02-06,4.8821030411576976,1.897623350932895,7.8665827313825005
2024-02-07,5.8274601308085545,2.842891567526863,8.812028694090246
2024-02-08,5.29846804562328,2.025647712321169,8.571288378925392
2024-02-09,5.130101231198199,1.8572609073255206,8.402941555070878
2024-02-10,5.320104738701552,2.047244403648481,8.592965073754623
2024-02-11,5.382792234215023,2.109911867353945,8.6556726010761
2024-02-12,5.208084022412392,1.9351836034119319,8.480984441412852
2024-02-13,5.345170859233859,2.072399960204185,8.617941758263532
2024-02-14,5.17616242796498,1.9033715845048897,8.448953271425069
2024-02-15,5.275775828334537,1.9840795403206433,8.567472116348432
2024-02-16,5.309686512223655,2.0179623183647792,8.60141070608253
2024-02-17,5.278305322599093,1.9865531941965342,8.570057451001652
2024-02-18,5.270122247166645,1.9783421554917142,8.561902338841577
2024-02-19,5.305193339664031,2.0133852558906105,8.597001423437451
2024-02-20,5.283458378200013,1.9915912420367397,8.575325514363286
2024-02-21,5.317494354542575,2.025599136679038,8.609389572406112
2024-02-22,5.302590255399415,2.0118228301538457,8.593357680644985
2024-02-23,5.299658594093188,2.0088645919322436,8.590452596254131
2024-02-24,5.30862451765245,2.0178039112326225,8.599445124072277
2024-02-25,5.313365527096358,2.0225182890463556,8.604212765146361
2024-02-26,5.310227495505069,2.019353598437773,8.601101392572366
2024-02-27,5.317440971122944,2.026545936261387,8.608336005984501
2024-02-28,5.314494905152343,2.023573162081334,8.605416648223352
2024-02-29,5.320467200275171,2.029231385421501,8.611703015128843
2024-03-01,5.324259856195909,2.032996996403108,8.61552271598871
